 -0.09535,  0.08533,  0.12473
 -0.07882,  0.07413,  0.11441
 -0.08038,  0.09115,  0.10144
 -0.07549,  0.08521,  0.12434
 -0.07278,  0.07812,  0.14120
 -0.08044,  0.10131,  0.09311
 -0.08176,  0.06197,  0.12601
 -0.09723,  0.09035,  0.12271
 -0.09226,  0.07863,  0.11752
 -0.08816,  0.09203,  0.09831
 -0.10437,  0.11368,  0.11956
 -0.09613,  0.08015,  0.15533
 -0.09604,  0.09626,  0.11244
 -0.09721,  0.09421,  0.11096
 -0.08460,  0.06873,  0.12994
 -0.09755,  0.08697,  0.13034
 -0.07928,  0.08635,  0.11162
 -0.07769,  0.10499,  0.08622
 -0.08482,  0.08065,  0.11658
 -0.07411,  0.05871,  0.14741
 -0.08983,  0.09664,  0.11300
 -0.08301,  0.09221,  0.11152
 -0.07805,  0.08593,  0.11614
 -0.09629,  0.08979,  0.11641
 -0.09404,  0.09636,  0.10664
 -0.10265,  0.08095,  0.12653
 -0.08667,  0.10230,  0.09286
 -0.08736,  0.08916,  0.12032
 -0.07958,  0.08351,  0.12503
 -0.07618,  0.07447,  0.12989
 -0.07521,  0.07246,  0.10122
 -0.05949,  0.08875,  0.09959
 -0.06856,  0.09422,  0.09508
 -0.07461,  0.07558,  0.11560
 -0.09882,  0.09219,  0.10353
 -0.09184,  0.10734,  0.08708
