  0.17454,  0.00009
  0.18385, -0.00783
  0.21177,  0.02300
  0.23124, -0.02233
  0.21606, -0.09447
  0.18894, -0.03977
  0.21350,  0.02439
  0.20053,  0.00750
  0.19190, -0.06876
  0.14938, -0.01946
  0.17496,  0.03523
  0.22811, -0.00967
  0.20614, -0.02275
  0.19043, -0.03246
  0.18529, -0.07629
  0.19389, -0.05515
  0.15907, -0.05097
  0.15020, -0.01979
  0.22395, -0.05175
  0.15584, -0.12307
  0.17949,  0.02815
  0.17724,  0.00032
  0.17320,  0.02777
  0.19439, -0.05029
  0.15855, -0.05807
  0.16416, -0.06146
  0.19258, -0.02807
  0.17075, -0.05711
  0.15105, -0.04791
  0.15928, -0.02006
  0.21230,  0.02842
  0.13670, -0.08926
  0.17231, -0.00527
  0.22923,  0.00506
  0.17377,  0.01097
  0.18544, -0.02753
